baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
AAAS	1350.3690956974	-0.160991106572988	0.0362208795814586	-4.44470450285253	8.80127538986515e-06	1.4151859057281e-05	AAAS	UNCHANGED
AACS	573.50227004322	-0.209247883598481	0.0598023976090465	-3.49898820054711	0.000467027248105013	0.00067698154201584	AACS	UNCHANGED
AAGAB	1452.52729619776	-0.624462270077001	0.0325424616286041	-19.1891528429463	4.56012551829261e-82	5.10032500276727e-81	AAGAB	UNCHANGED
AAK1	2663.66691527457	2.0810086724807	0.0623188364214859	33.39293208888	1.73633321094513e-244	6.81104808106353e-243	AAK1	UP
AAMP	1922.98639634993	-0.606113476138818	0.0275688670342492	-21.9854328937723	3.96991815973462e-107	5.9878226185209e-106	AAMP	UNCHANGED
AARS2	661.609500496451	0.322422651864717	0.0440294539496456	7.32288554460512	2.42694790581516e-13	5.5917741206242e-13	AARS2	UNCHANGED
AARSD1	175.041030067232	2.86073526421934	0.0538454607558615	53.1286244757025	0	0	AARSD1	UP
AASDH	628.37259022468	0.611731688222605	0.0460800947944665	13.2753999519998	3.21549674056703e-40	1.68419750028259e-39	AASDH	UNCHANGED
AASDHPPT	973.118665016596	0.623750395703487	0.0399902020416003	15.5975805037099	7.56055926060708e-55	5.31921927334969e-54	AASDHPPT	UNCHANGED
AATF	2414.81903032919	-0.428931938719752	0.0300580329790072	-14.2701266919004	3.35967713854879e-46	1.99658197252723e-45	AATF	UNCHANGED
AATK	502.914983787075	-0.960558635949244	0.127175732500871	-7.55300258201906	4.25336558395073e-14	1.01405666141195e-13	AATK	UNCHANGED
ABAT	516.02781541105	-0.10376614650384	0.0712027099065077	-1.45733423124048	0.14502414207633	0.167088036908862	ABAT	UNCHANGED
ABCA1	1707.19978399104	-0.630842542044234	0.12674810084792	-4.97713605035514	6.45319650869796e-07	1.10318400889405e-06	ABCA1	UNCHANGED
ABCA10	26.0973315747738	0.215976452777657	0.109755972278396	1.96778770479872	0.0490924694553231	0.0596494016056043	ABCA10	UNCHANGED
ABCA13	1202.91311999582	-2.26381813927632	0.185895652866861	-12.1778971394112	4.07657375001206e-34	1.81894585695096e-33	ABCA13	DOWN
