baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
AAAS	1350.3690956974	0.0142293800896374	0.0304126156984744	0.467877548932801	0.639872159560045	0.848607849448718	AAAS	UNCHANGED
AACS	573.50227004322	-0.00235439090532401	0.0499850349395851	-0.0471019157667823	0.962432000473083	0.984828841621373	AACS	UNCHANGED
AAGAB	1452.52729619776	-0.0693887044412855	0.032013271006212	-2.16749811126207	0.0301968935538866	0.195544610573119	AAGAB	UNCHANGED
AAK1	2663.66691527457	-0.201524303568704	0.0820787502812916	-2.45525550618231	0.0140784483915551	0.12698550844492	AAK1	UNCHANGED
AAMP	1922.98639634993	0.00157005838701478	0.0284748874605927	0.0551383526690891	0.956028241593309	0.982152394540823	AAMP	UNCHANGED
AARS2	661.609500496451	-0.0135102232647086	0.0377884364478506	-0.357522685103766	0.720700546638743	0.888381849120122	AARS2	UNCHANGED
AARSD1	175.041030067232	-0.146560379389107	0.0995282603216855	-1.47255039840352	0.140872307919125	0.43891786224516	AARSD1	UNCHANGED
AASDH	628.37259022468	-0.052671564340054	0.0424231124967202	-1.24157708475836	0.214392640854291	0.532821839211507	AASDH	UNCHANGED
AASDHPPT	973.118665016596	0.018892791747137	0.0381919786427304	0.494679574574309	0.620826321739741	0.84204724730965	AASDHPPT	UNCHANGED
AATF	2414.81903032919	0.0178256653106286	0.0277500679413175	0.64236474477555	0.520636385011375	0.789308671140898	AATF	UNCHANGED
AATK	502.914983787075	-0.0441878305314544	0.108184136204796	-0.408450185781449	0.68294319523943	0.870623746400817	AATK	UNCHANGED
ABAT	516.02781541105	0.0717115809385855	0.059165026115468	1.21206032764409	0.225489288535204	0.546066523979377	ABAT	UNCHANGED
ABCA1	1707.19978399104	0.012150658807494	0.10656278660559	0.11402347099336	0.909219187620705	0.965624779996474	ABCA1	UNCHANGED
ABCA10	26.0973315747738	-0.0356768531745633	0.0908334595406442	-0.392772149767117	0.694487776227911	0.875120671665599	ABCA10	UNCHANGED
ABCA13	1202.91311999582	0.260982468561239	0.161240140951263	1.61859489219948	0.105534454826547	0.379588697986799	ABCA13	UNCHANGED
ABCA2	5257.37776430316	-0.0417085078802639	0.0666956382587854	-0.625355854882608	0.531737528706967	0.795246239688778	ABCA2	UNCHANGED
ABCA3	340.453072973384	-0.0688513223864633	0.0939935790314203	-0.732510912936378	0.463856784343618	0.748537306811596	ABCA3	UNCHANGED
ABCA5	600.865183177155	-0.00236142922359055	0.0867162926951079	-0.0272316672011484	0.978274958292175	0.991687110121766	ABCA5	UNCHANGED
ABCA6	60.1489100494366	0.682057243835856	0.13962487252555	4.88492652848112	1.03467428606234e-06	0.000137599062067193	ABCA6	UNCHANGED
ABCA7	4442.11462842859	-0.0130510981482867	0.0625277773263608	-0.208724805300004	0.834663074787157	0.93719118930745	ABCA7	UNCHANGED
ABCA9	72.215262265947	0.339130975552873	0.140615825001013	2.41175540199996	0.0158759282030385	0.134662212667447	ABCA9	UNCHANGED
ABCB1	590.134380172061	0.441962692009765	0.133374763796895	3.31369053206192	0.000920733518351183	0.0233502302735341	ABCB1	UNCHANGED
ABCB10	1635.33382837967	0.0820807335059787	0.0538205250512642	1.5250823626822	0.127238555776735	0.416812829950288	ABCB10	UNCHANGED
ABCB6	93.8675570580134	0.0363631002387953	0.129773481784288	0.28020439722222	0.779320693255716	0.913240832463939	ABCB6	UNCHANGED
ABCB7	1097.23649008613	-0.0298531253949545	0.0320806731737559	-0.930564182156139	0.352079049556454	0.67443119665261	ABCB7	UNCHANGED
ABCB8	745.307019089359	-0.00437464036469065	0.0399906745795446	-0.109391512163396	0.912891965660419	0.967182681814051	ABCB8	UNCHANGED
ABCB9	141.617953315073	0.0774351215533292	0.049163565077051	1.57505098403604	0.11524467673378	0.398477967793746	ABCB9	UNCHANGED
ABCC1	7161.13719523967	-0.0965812317509643	0.0542397962162195	-1.78063411901395	0.074972242152958	0.316906412929629	ABCC1	UNCHANGED
ABCC10	971.536061702772	0.00606833455725151	0.0388572511230706	0.156169939505797	0.875899070777006	0.953356559219808	ABCC10	UNCHANGED
ABCC2	122.07337123	-0.0671170607634356	0.0607435955209468	-1.10492406957193	0.269192491857678	0.594119434063546	ABCC2	UNCHANGED
ABCC3	279.441083699705	0.126542998918523	0.151887212867117	0.833137935246949	0.404766940978633	0.710699967595024	ABCC3	UNCHANGED
