"model"	"sensitivity"	"specificity"	"precision"	"accuracy"	"kappa"	"auc"
"Sensitivity"	"kNN_vst_min_max"	0.938775510204082	0.351063829787234	0.273809523809524	0.472573839662447	0.152724152724153	0.84140251845419
"Sensitivity1"	"kNN_vst_zScore"	0.938775510204082	0.345744680851064	0.272189349112426	0.468354430379747	0.149327711941659	0.837983065566652
"Sensitivity2"	"nb_vst"	0.653061224489796	0.888297872340426	0.60377358490566	0.839662447257384	0.52550052687039	0.832283977420756
"Sensitivity3"	"nb_vst_min_max"	0.653061224489796	0.888297872340426	0.60377358490566	0.839662447257384	0.52550052687039	0.832772470690404
"Sensitivity4"	"nb_vst_zScore"	0.653061224489796	0.888297872340426	0.60377358490566	0.839662447257384	0.52550052687039	0.829353017802866
"Sensitivity5"	"nb_vst_QN"	0.653061224489796	0.893617021276596	0.615384615384615	0.843881856540084	0.534578844010403	0.84259661311333
"Sensitivity6"	"svm_vst_min_max"	0.591836734693878	0.925531914893617	0.674418604651163	0.856540084388186	0.541898806139852	0.805036908380373
"Sensitivity7"	"svm_vst_zScore"	0.591836734693878	0.925531914893617	0.674418604651163	0.856540084388186	0.541898806139852	0.805362570560139
"Sensitivity8"	"glm_vst"	0.551020408163265	0.48936170212766	0.219512195121951	0.50210970464135	0.0259143155694879	0.547221016066001
"Sensitivity9"	"glm_vst_min_max"	0.612244897959184	0.484042553191489	0.236220472440945	0.510548523206751	0.0606164149525046	0.552702996092054
"Sensitivity10"	"glm_vst_zScore"	0.673469387755102	0.478723404255319	0.251908396946565	0.518987341772152	0.0940245456374489	0.58076422058185
"Sensitivity11"	"glm_vst_QN"	0.448979591836735	0.537234042553192	0.201834862385321	0.518987341772152	-0.00949036018532355	0.503853669127225
"Sensitivity12"	"rf_vst"	0.571428571428571	0.968085106382979	0.823529411764706	0.886075949367089	0.608360364771406	0.847481545809813
"Sensitivity13"	"rf_vst_min_max"	0.591836734693878	0.973404255319149	0.852941176470588	0.894514767932489	0.637370708121672	0.871200607902736
"Sensitivity14"	"rf_vst_zScore"	0.571428571428571	0.973404255319149	0.848484848484849	0.890295358649789	0.61962962962963	0.856328701693443
"Sensitivity15"	"rf_vst_QN"	0.591836734693878	0.973404255319149	0.852941176470588	0.894514767932489	0.637370708121672	0.865501519756839
"Sensitivity16"	"gbm_vst"	0.673469387755102	0.941489361702128	0.75	0.886075949367089	0.639065937165097	0.814046895353886
"Sensitivity17"	"gbm_vst_min_max"	0.693877551020408	0.936170212765957	0.739130434782609	0.886075949367089	0.644638196257011	0.853126356925749
"Sensitivity18"	"gbm_vst_zScore"	0.693877551020408	0.930851063829787	0.723404255319149	0.881856540084388	0.634299570153202	0.831849761181068
"Sensitivity19"	"gbm_vst_QN"	0.693877551020408	0.936170212765957	0.739130434782609	0.886075949367089	0.644638196257011	0.814046895353886
