"model"	"sensitivity"	"specificity"	"precision"	"accuracy"	"kappa"	"auc"
"Sensitivity"	"kNN_vst_min_max"	0.722222222222222	0.447488584474886	0.0970149253731343	0.468354430379747	0.0428846153846153	0.665017757483511
"Sensitivity1"	"kNN_vst_zScore"	0.666666666666667	0.4337899543379	0.0882352941176471	0.451476793248945	0.0250617049553825	0.627853881278539
"Sensitivity2"	"nb_vst"	0.222222222222222	0.89041095890411	0.142857142857143	0.839662447257384	0.0897513644633104	0.595383054287164
"Sensitivity3"	"nb_vst_min_max"	0.222222222222222	0.885844748858447	0.137931034482759	0.835443037974684	0.0843982169390789	0.593607305936073
"Sensitivity4"	"nb_vst_zScore"	0.222222222222222	0.876712328767123	0.129032258064516	0.827004219409283	0.0743069448413827	0.602612886859462
"Sensitivity5"	"nb_vst_QN"	0.277777777777778	0.885844748858447	0.166666666666667	0.839662447257384	0.125291375291375	0.662354134956875
"Sensitivity6"	"svm_vst_min_max"	0.166666666666667	0.977168949771689	0.374999999999999	0.915611814345992	0.193054136874361	0.71689497716895
"Sensitivity7"	"svm_vst_zScore"	0.166666666666667	0.977168949771689	0.374999999999999	0.915611814345992	0.193054136874361	0.725012683916794
"Sensitivity8"	"glm_vst"	0.611111111111111	0.611872146118721	0.114583333333333	0.611814345991561	0.0746116628469568	0.627727042110604
"Sensitivity9"	"glm_vst_min_max"	0.611111111111111	0.602739726027397	0.112244897959184	0.60337552742616	0.0703555332999497	0.629122272957889
"Sensitivity10"	"glm_vst_zScore"	0.611111111111111	0.575342465753425	0.105769230769231	0.578059071729958	0.0584028605482719	0.610984271943176
"Sensitivity11"	"glm_vst_QN"	0.5	0.575342465753425	0.0882352941176471	0.569620253164557	0.0239825581395348	0.538812785388128
"Sensitivity12"	"rf_vst"	0.166666666666667	0.986301369863014	0.499999999999999	0.924050632911392	0.220394736842106	0.697995941146626
"Sensitivity13"	"rf_vst_min_max"	0.166666666666667	0.990867579908676	0.6	0.928270042194093	0.235628912919749	0.67351598173516
"Sensitivity14"	"rf_vst_zScore"	0.166666666666667	0.986301369863014	0.499999999999999	0.924050632911392	0.220394736842106	0.710045662100457
"Sensitivity15"	"rf_vst_QN"	0.0555555555555556	0.995433789954338	0.499999999999997	0.924050632911392	0.0861182519280217	0.711567732115677
"Sensitivity16"	"gbm_vst"	0.222222222222222	0.922374429223744	0.19047619047619	0.869198312236287	0.134323082361258	0.643581938102486
"Sensitivity17"	"gbm_vst_min_max"	0.222222222222222	0.931506849315068	0.210526315789474	0.877637130801688	0.149907235621522	0.71714865550482
"Sensitivity18"	"gbm_vst_zScore"	0.277777777777778	0.940639269406393	0.277777777777778	0.890295358649789	0.21841704718417	0.678335870116692
"Sensitivity19"	"gbm_vst_QN"	0.277777777777778	0.945205479452055	0.294117647058824	0.894514767932489	0.228816868410777	0.751648909183156
