"model"	"sensitivity"	"specificity"	"precision"	"accuracy"	"kappa"	"auc"
"Sensitivity"	"kNN_vst_min_max"	0.887323943661972	0.44578313253012	0.406451612903226	0.578059071729958	0.248859026369168	0.805235024605464
"Sensitivity1"	"kNN_vst_zScore"	0.915492957746479	0.421686746987952	0.403726708074534	0.569620253164557	0.247431666770438	0.812150008484643
"Sensitivity2"	"nb_vst"	0.619718309859155	0.885542168674699	0.698412698412698	0.805907172995781	0.522093634928985	0.791405056847107
"Sensitivity3"	"nb_vst_min_max"	0.619718309859155	0.885542168674699	0.698412698412698	0.805907172995781	0.522093634928985	0.794629221109791
"Sensitivity4"	"nb_vst_zScore"	0.633802816901408	0.885542168674699	0.703125	0.810126582278481	0.534421792465185	0.797556422874597
"Sensitivity5"	"nb_vst_QN"	0.619718309859155	0.873493975903614	0.676923076923077	0.79746835443038	0.505434310059995	0.811089428135076
"Sensitivity6"	"svm_vst_min_max"	0.647887323943662	0.91566265060241	0.766666666666666	0.835443037974684	0.589692369157012	0.852791447480061
"Sensitivity7"	"svm_vst_zScore"	0.647887323943662	0.91566265060241	0.766666666666666	0.835443037974684	0.589692369157012	0.853385372475819
"Sensitivity8"	"glm_vst"	0.563380281690141	0.487951807228916	0.32	0.510548523206751	0.0421573409518501	0.534405226539963
"Sensitivity9"	"glm_vst_min_max"	0.535211267605634	0.542168674698795	0.333333333333333	0.540084388185654	0.065950753877861	0.553198710334295
"Sensitivity10"	"glm_vst_zScore"	0.563380281690141	0.548192771084337	0.347826086956522	0.552742616033755	0.0947679446526376	0.551968437128797
"Sensitivity11"	"glm_vst_QN"	0.591549295774648	0.578313253012048	0.375	0.582278481012658	0.145774929915899	0.569404378075683
"Sensitivity12"	"rf_vst"	0.577464788732394	0.933734939759036	0.788461538461538	0.827004219409283	0.55359029723894	0.850797556422875
"Sensitivity13"	"rf_vst_min_max"	0.591549295774648	0.939759036144578	0.807692307692308	0.835443037974684	0.575366380300455	0.851179365348719
"Sensitivity14"	"rf_vst_zScore"	0.619718309859155	0.939759036144578	0.814814814814815	0.843881856540084	0.600628501161361	0.854955031393178
"Sensitivity15"	"rf_vst_QN"	0.605633802816901	0.951807228915663	0.843137254901961	0.848101265822785	0.606312292358804	0.849524860003394
"Sensitivity16"	"gbm_vst"	0.619718309859155	0.879518072289157	0.6875	0.80168776371308	0.51372942768586	0.832767690480231
"Sensitivity17"	"gbm_vst_min_max"	0.619718309859155	0.86144578313253	0.656716417910448	0.789029535864979	0.489047947568127	0.809689462073647
"Sensitivity18"	"gbm_vst_zScore"	0.605633802816901	0.86144578313253	0.651515151515152	0.784810126582278	0.476685283803091	0.812150008484643
"Sensitivity19"	"gbm_vst_QN"	0.676056338028169	0.855421686746988	0.666666666666667	0.80168776371308	0.529344657117505	0.83590700831495
