"model"	"sensitivity"	"specificity"	"precision"	"accuracy"	"kappa"	"auc"
"Sensitivity"	"kNN_vst_min_max"	0.961538461538462	0.697297297297297	0.471698113207547	0.755274261603376	0.479751722049807	0.949220374220374
"Sensitivity1"	"kNN_vst_zScore"	0.961538461538462	0.610810810810811	0.40983606557377	0.687763713080169	0.385709281961471	0.941735966735967
"Sensitivity2"	"nb_vst"	0.846153846153846	0.924324324324324	0.758620689655172	0.907172995780591	0.73979439065775	0.944022869022869
"Sensitivity3"	"nb_vst_min_max"	0.846153846153846	0.924324324324324	0.758620689655172	0.907172995780591	0.73979439065775	0.942047817047817
"Sensitivity4"	"nb_vst_zScore"	0.846153846153846	0.924324324324324	0.758620689655172	0.907172995780591	0.73979439065775	0.942047817047817
"Sensitivity5"	"nb_vst_QN"	0.884615384615385	0.913513513513514	0.741935483870968	0.907172995780591	0.746524064171123	0.934927234927235
"Sensitivity6"	"svm_vst_min_max"	0.942307692307692	0.972972972972973	0.907407407407408	0.966244725738397	0.902799138726546	0.987422037422037
"Sensitivity7"	"svm_vst_zScore"	0.942307692307692	0.972972972972973	0.907407407407408	0.966244725738397	0.902799138726546	0.987525987525988
"Sensitivity8"	"glm_vst"	0.615384615384615	0.589189189189189	0.296296296296296	0.594936708860759	0.147482014388489	0.616943866943867
"Sensitivity9"	"glm_vst_min_max"	0.576923076923077	0.545945945945946	0.263157894736842	0.552742616033755	0.0860074219602707	0.599376299376299
"Sensitivity10"	"glm_vst_zScore"	0.615384615384615	0.562162162162162	0.283185840707965	0.573839662447257	0.124885752933865	0.595218295218295
"Sensitivity11"	"glm_vst_QN"	0.75	0.654054054054054	0.378640776699029	0.675105485232067	0.298735733773969	0.758523908523908
"Sensitivity12"	"rf_vst"	0.903846153846154	0.956756756756757	0.854545454545454	0.945147679324895	0.843118285045063	0.98456340956341
"Sensitivity13"	"rf_vst_min_max"	0.923076923076923	0.956756756756757	0.857142857142857	0.949367088607595	0.856160226583047	0.986018711018711
"Sensitivity14"	"rf_vst_zScore"	0.903846153846154	0.956756756756757	0.854545454545454	0.945147679324895	0.843118285045063	0.982432432432433
"Sensitivity15"	"rf_vst_QN"	0.923076923076923	0.956756756756757	0.857142857142857	0.949367088607595	0.856160226583047	0.98487525987526
"Sensitivity16"	"gbm_vst"	0.942307692307692	0.940540540540541	0.816666666666667	0.940928270042194	0.836583924349882	0.973596673596674
"Sensitivity17"	"gbm_vst_min_max"	0.961538461538462	0.92972972972973	0.793650793650794	0.936708860759494	0.828285755687581	0.980769230769231
"Sensitivity18"	"gbm_vst_zScore"	0.942307692307692	0.940540540540541	0.816666666666667	0.940928270042194	0.836583924349882	0.975571725571726
"Sensitivity19"	"gbm_vst_QN"	0.942307692307692	0.945945945945946	0.830508474576271	0.945147679324895	0.847255961528928	0.984199584199584
