"model"	"sensitivity"	"specificity"	"precision"	"accuracy"	"kappa"	"auc"
"Sensitivity"	"kNN_vst_min_max"	0.944444444444444	0.402985074626866	0.220779220779221	0.485232067510549	0.148135053915503	0.801064123825318
"Sensitivity1"	"kNN_vst_zScore"	0.916666666666667	0.393034825870647	0.212903225806452	0.472573839662447	0.13140997449204	0.79760917634052
"Sensitivity2"	"kNN_rlog_min_max"	0.944444444444444	0.293532338308458	0.193181818181818	0.392405063291139	0.0916640051101884	0.791528468767275
"Sensitivity3"	"kNN_rlog_zScore"	0.888888888888889	0.412935323383085	0.213333333333333	0.485232067510549	0.131242112853795	0.788833609729132
"Sensitivity4"	"nb_raw"	0.444444444444444	0.711442786069652	0.216216216216216	0.670886075949367	0.108764824992768	0.594803758982863
"Sensitivity5"	"nb_vst"	0.472222222222222	0.840796019900497	0.346938775510204	0.784810126582278	0.272612384907023	0.71952736318408
"Sensitivity6"	"nb_rlog"	0.527777777777778	0.830845771144279	0.358490566037736	0.784810126582278	0.300399374891474	0.730375898286346
"Sensitivity7"	"nb_vst_min_max"	0.472222222222222	0.835820895522388	0.34	0.780590717299578	0.265641759027529	0.715865118850193
"Sensitivity8"	"nb_vst_zScore"	0.527777777777778	0.825870646766169	0.351851851851852	0.780590717299578	0.29342965256278	0.720287451630735
"Sensitivity9"	"nb_vst_QN"	0.527777777777778	0.890547263681592	0.463414634146342	0.835443037974684	0.395763875269661	0.787037037037037
"Sensitivity10"	"nb_rlog_min_max"	0.472222222222222	0.845771144278607	0.354166666666667	0.789029535864979	0.279722830051058	0.669361525704809
"Sensitivity11"	"nb_rlog_zScore"	0.5	0.835820895522388	0.352941176470588	0.784810126582278	0.286776420605417	0.727335544499724
"Sensitivity12"	"nb_rlog_QN"	0.527777777777778	0.885572139303483	0.452380952380952	0.831223628691983	0.386883973612728	0.769624101713654
"Sensitivity13"	"svm_vst_min_max"	0.5	0.950248756218905	0.642857142857143	0.881856540084388	0.495437956204379	0.847567716970702
"Sensitivity14"	"svm_vst_zScore"	0.5	0.950248756218905	0.642857142857143	0.881856540084388	0.495437956204379	0.847153123272526
"Sensitivity15"	"svm_rlog_min_max"	0.5	0.945273631840796	0.620689655172414	0.877637130801688	0.483892768641586	0.849640685461581
"Sensitivity16"	"svm_rlog_zScore"	0.5	0.940298507462687	0.6	0.873417721518987	0.472630173564753	0.834024322830293
"Sensitivity17"	"glm_raw"	0.416666666666667	0.54228855721393	0.14018691588785	0.523206751054852	-0.0226830106541413	0.476506357103372
"Sensitivity18"	"glm_vst"	0.444444444444444	0.507462686567164	0.139130434782609	0.49789029535865	-0.0253026502344858	0.463792150359315
"Sensitivity19"	"glm_rlog"	0.333333333333333	0.462686567164179	0.1	0.443037974683544	-0.104193138500635	0.395176893311222
"Sensitivity20"	"glm_vst_min_max"	0.416666666666667	0.45273631840796	0.12	0.447257383966245	-0.0648214836917378	0.46026810392482
"Sensitivity21"	"glm_vst_zScore"	0.472222222222222	0.497512437810945	0.144067796610169	0.493670886075949	-0.0156417398757232	0.508982863460475
"Sensitivity22"	"glm_vst_QN"	0.527777777777778	0.492537313432836	0.15702479338843	0.49789029535865	0.0103168754605748	0.520660585959093
"Sensitivity23"	"glm_rlog_min_max"	0.555555555555556	0.601990049751244	0.2	0.594936708860759	0.091083413231064	0.576907131011609
"Sensitivity24"	"glm_rlog_zScore"	0.416666666666667	0.462686567164179	0.121951219512195	0.455696202531646	-0.0605682172962848	0.432974018794914
"Sensitivity25"	"glm_rlog_QN"	0.638888888888889	0.527363184079602	0.194915254237288	0.544303797468354	0.0859224341118491	0.588723051409619
"Sensitivity26"	"rf_raw"	0.138888888888889	0.985074626865672	0.624999999999999	0.856540084388186	0.182095006090134	0.72312050856827
"Sensitivity27"	"rf_vst"	0.361111111111111	0.980099502487562	0.764705882352941	0.886075949367089	0.435564964276263	0.856205085682698
"Sensitivity28"	"rf_rlog"	0.361111111111111	0.980099502487562	0.764705882352941	0.886075949367089	0.435564964276263	0.865257048092869
"Sensitivity29"	"rf_vst_min_max"	0.361111111111111	0.975124378109453	0.722222222222222	0.881856540084388	0.423056859676578	0.842938087341072
"Sensitivity30"	"rf_vst_zScore"	0.416666666666667	0.980099502487562	0.789473684210526	0.894514767932489	0.492157366932373	0.860212824765064
"Sensitivity31"	"rf_vst_QN"	0.333333333333333	0.980099502487562	0.75	0.881856540084388	0.406015037593985	0.851782752902156
"Sensitivity32"	"rf_rlog_min_max"	0.333333333333333	0.990049751243781	0.857142857142858	0.890295358649789	0.431654676258993	0.867675511332228
"Sensitivity33"	"rf_rlog_zScore"	0.388888888888889	0.980099502487562	0.777777777777778	0.890295358649789	0.464267083985394	0.860351022664456
"Sensitivity34"	"rf_rlog_QN"	0.361111111111111	0.980099502487562	0.764705882352941	0.886075949367089	0.435564964276263	0.849640685461581
"Sensitivity35"	"gbm_raw"	0.416666666666667	0.880597014925373	0.384615384615385	0.810126582278481	0.28743235117258	0.733278054173577
"Sensitivity36"	"gbm_vst"	0.611111111111111	0.915422885572139	0.564102564102564	0.869198312236287	0.509120064141111	0.876589275843007
"Sensitivity37"	"gbm_rlog"	0.638888888888889	0.935323383084577	0.638888888888889	0.890295358649789	0.574212271973466	0.881426202321725
"Sensitivity38"	"gbm_vst_min_max"	0.75	0.940298507462687	0.692307692307692	0.911392405063291	0.667468430547204	0.906578220011056
"Sensitivity39"	"gbm_vst_zScore"	0.638888888888889	0.935323383084577	0.638888888888889	0.890295358649789	0.574212271973466	0.875483692647872
"Sensitivity40"	"gbm_vst_QN"	0.555555555555556	0.930348258706468	0.588235294117647	0.873417721518987	0.497242257106491	0.878109452736318
"Sensitivity41"	"gbm_rlog_min_max"	0.722222222222222	0.940298507462687	0.68421052631579	0.907172995780591	0.647750304012971	0.891514648977336
"Sensitivity42"	"gbm_rlog_zScore"	0.694444444444444	0.935323383084577	0.657894736842105	0.89873417721519	0.615727604377787	0.880458817025981
"Sensitivity43"	"gbm_rlog_QN"	0.666666666666667	0.920398009950249	0.6	0.881856540084388	0.561459159397304	0.886954118297402
