"model"	"sensitivity"	"specificity"	"precision"	"accuracy"	"kappa"	"auc"
"Sensitivity"	"kNN_vst_min_max"	0	1	NA	0.848101265822785	0	0.76181592039801
"Sensitivity1"	"kNN_vst_zScore"	0	1	NA	0.848101265822785	0	0.746614151464898
"Sensitivity2"	"kNN_rlog_min_max"	0	1	NA	0.848101265822785	0	0.761539524599226
"Sensitivity3"	"kNN_rlog_zScore"	0	1	NA	0.848101265822785	0	0.752349364289663
"Sensitivity4"	"nb_raw"	0	1	NA	0.848101265822785	0	0.5
"Sensitivity5"	"nb_vst"	0.527777777777778	0.900497512437811	0.487179487179487	0.843881856540084	0.414111044297455	0.758291873963516
"Sensitivity6"	"nb_rlog"	0.527777777777778	0.900497512437811	0.487179487179487	0.843881856540084	0.414111044297455	0.758291873963516
"Sensitivity7"	"nb_vst_min_max"	0.527777777777778	0.900497512437811	0.487179487179487	0.843881856540084	0.414111044297455	0.758015478164732
"Sensitivity8"	"nb_vst_zScore"	0.527777777777778	0.900497512437811	0.487179487179487	0.843881856540084	0.414111044297455	0.758291873963516
"Sensitivity9"	"nb_vst_QN"	0.555555555555556	0.890547263681592	0.476190476190476	0.839662447257384	0.417539774932092	0.772664455500276
"Sensitivity10"	"nb_rlog_min_max"	0.527777777777778	0.91044776119403	0.513513513513513	0.852320675105485	0.433285509325682	0.764994472084024
"Sensitivity11"	"nb_rlog_zScore"	0.527777777777778	0.91044776119403	0.513513513513513	0.852320675105485	0.433285509325682	0.762990602542841
"Sensitivity12"	"nb_rlog_QN"	0.5	0.90547263681592	0.486486486486486	0.843881856540084	0.400901824144292	0.763059701492537
"Sensitivity13"	"svm_vst_min_max"	0.5	0.940298507462687	0.6	0.873417721518987	0.472630173564753	0.85461580983969
"Sensitivity14"	"svm_vst_zScore"	0.5	0.940298507462687	0.6	0.873417721518987	0.472630173564753	0.85461580983969
"Sensitivity15"	"svm_rlog_min_max"	0.5	0.945273631840796	0.620689655172414	0.877637130801688	0.483892768641586	0.847705914870094
"Sensitivity16"	"svm_rlog_zScore"	0.5	0.945273631840796	0.620689655172414	0.877637130801688	0.483892768641586	0.847705914870094
"Sensitivity17"	"glm_vst"	0.611111111111111	0.462686567164179	0.169230769230769	0.485232067510549	0.0356213728236943	0.529919845218353
"Sensitivity18"	"glm_rlog"	0.611111111111111	0.462686567164179	0.169230769230769	0.485232067510549	0.0356213728236943	0.529919845218353
"Sensitivity19"	"glm_vst_min_max"	0.611111111111111	0.462686567164179	0.169230769230769	0.485232067510549	0.0356213728236943	0.529919845218353
"Sensitivity20"	"glm_vst_zScore"	0.611111111111111	0.462686567164179	0.169230769230769	0.485232067510549	0.0356213728236943	0.529919845218353
"Sensitivity21"	"glm_vst_QN"	0.527777777777778	0.477611940298507	0.153225806451613	0.485232067510549	0.0026903973509934	0.498272526257601
"Sensitivity22"	"glm_rlog_min_max"	0.444444444444444	0.517412935323383	0.141592920353982	0.506329113924051	-0.0203112926371563	0.490740740740741
"Sensitivity23"	"glm_rlog_zScore"	0.444444444444444	0.517412935323383	0.141592920353982	0.506329113924051	-0.0203112926371563	0.490740740740741
"Sensitivity24"	"glm_rlog_QN"	0.527777777777778	0.462686567164179	0.149606299212598	0.472573839662447	-0.0046800284871299	0.500621890547264
"Sensitivity25"	"rf_raw"	0	1	NA	0.848101265822785	0	0.720771144278607
"Sensitivity26"	"rf_vst"	0	0.995024875621891	0	0.843881856540084	-0.00827871679889558	0.763681592039801
"Sensitivity27"	"rf_rlog"	0	0.995024875621891	0	0.843881856540084	-0.00827871679889558	0.76900221116639
"Sensitivity28"	"rf_vst_min_max"	0	1	NA	0.848101265822785	0	0.765270867882808
"Sensitivity29"	"rf_vst_zScore"	0	0.995024875621891	0	0.843881856540084	-0.00827871679889558	0.769071310116086
"Sensitivity30"	"rf_vst_QN"	0	1	NA	0.848101265822785	0	0.778468767274737
"Sensitivity31"	"rf_rlog_min_max"	0	1	NA	0.848101265822785	0	0.766929242675511
"Sensitivity32"	"rf_rlog_zScore"	0	0.995024875621891	0	0.843881856540084	-0.00827871679889558	0.764579878385849
"Sensitivity33"	"rf_rlog_QN"	0	1	NA	0.848101265822785	0	0.787106135986733
"Sensitivity34"	"gbm_raw"	0.194444444444444	0.975124378109453	0.583333333333333	0.856540084388186	0.233447488584475	0.783720287451631
"Sensitivity35"	"gbm_vst"	0.25	0.985074626865672	0.75	0.873417721518987	0.323630136986302	0.794914317302377
"Sensitivity36"	"gbm_rlog"	0.222222222222222	0.995024875621891	0.888888888888889	0.877637130801688	0.313866427073974	0.805002763957988
"Sensitivity37"	"gbm_vst_min_max"	0.222222222222222	0.990049751243781	0.800000000000001	0.873417721518987	0.301708898055392	0.827529021558872
"Sensitivity38"	"gbm_vst_zScore"	0.222222222222222	0.995024875621891	0.888888888888889	0.877637130801688	0.313866427073974	0.80016583747927
"Sensitivity39"	"gbm_vst_QN"	0.138888888888889	1	1	0.869198312236287	0.214812439884579	0.79228855721393
"Sensitivity40"	"gbm_rlog_min_max"	0.305555555555556	0.990049751243781	0.846153846153847	0.886075949367089	0.400674346726609	0.806522940851299
"Sensitivity41"	"gbm_rlog_zScore"	0.333333333333333	0.990049751243781	0.857142857142858	0.890295358649789	0.431654676258993	0.807766721945826
"Sensitivity42"	"gbm_rlog_QN"	0.333333333333333	1	1	0.89873417721519	0.458904109589041	0.823383084577114
