"model"	"start"	"end"	"elapsed"
"20"	"glm_rlog_min_max"	2026-01-08 13:45:26.781114	2026-01-08 21:24:53.61155	27566.830435276
"18"	"glm_vst_min_max"	2026-01-08 12:41:27.004087	2026-01-08 13:13:28.497927	1921.49383974075
"19"	"glm_vst_zScore"	2026-01-08 13:13:28.499048	2026-01-08 13:45:26.780097	1918.28104948997
"21"	"glm_rlog_zScore"	2026-01-08 21:24:53.61254	2026-01-08 21:55:54.62539	1861.01285004616
"28"	"rf_rlog_min_max"	2026-01-08 22:22:14.492584	2026-01-08 22:36:11.878215	837.385630846024
"22"	"rf_raw"	2026-01-08 21:55:54.626394	2026-01-08 22:00:25.132722	270.506328582764
"29"	"rf_rlog_zScore"	2026-01-08 22:36:11.879226	2026-01-08 22:40:38.731523	266.852297067642
"30"	"rf_rlog_QN"	2026-01-08 22:40:38.732579	2026-01-08 22:45:05.156762	266.424182891846
"23"	"rf_vst"	2026-01-08 22:00:25.133734	2026-01-08 22:04:48.29238	263.158645391464
"26"	"rf_vst_zScore"	2026-01-08 22:13:31.132739	2026-01-08 22:17:53.19452	262.061780929565
"24"	"rf_rlog"	2026-01-08 22:04:48.293398	2026-01-08 22:09:09.860893	261.567495346069
"27"	"rf_vst_QN"	2026-01-08 22:17:53.195533	2026-01-08 22:22:14.491313	261.295780420303
"25"	"rf_vst_min_max"	2026-01-08 22:09:09.861946	2026-01-08 22:13:31.131723	261.269776821136
"16"	"svm_rlog_min_max"	2026-01-08 12:36:09.09892	2026-01-08 12:40:20.396785	251.297865390778
"11"	"nb_rlog_min_max"	2026-01-08 12:31:36.476628	2026-01-08 12:33:02.980873	86.5042448043823
"37"	"gbm_rlog_min_max"	2026-01-08 22:47:43.606953	2026-01-08 22:49:05.59681	81.9898569583893
"14"	"svm_vst_min_max"	2026-01-08 12:33:53.364247	2026-01-08 12:35:03.690252	70.3260056972504
"17"	"svm_rlog_zScore"	2026-01-08 12:40:20.39767	2026-01-08 12:41:27.003156	66.6054861545563
"15"	"svm_vst_zScore"	2026-01-08 12:35:03.691552	2026-01-08 12:36:09.097873	65.4063210487366
"3"	"kNN_rlog_min_max"	2026-01-08 12:28:30.30438	2026-01-08 12:28:58.139405	27.8350248336792
"39"	"gbm_rlog_QN"	2026-01-08 22:49:32.066395	2026-01-08 22:49:58.869665	26.8032701015472
"36"	"gbm_vst_QN"	2026-01-08 22:47:16.905556	2026-01-08 22:47:43.606072	26.7005152702332
"31"	"gbm_raw"	2026-01-08 22:45:05.158104	2026-01-08 22:45:31.671756	26.5136518478394
"38"	"gbm_rlog_zScore"	2026-01-08 22:49:05.597645	2026-01-08 22:49:32.065532	26.4678866863251
"32"	"gbm_vst"	2026-01-08 22:45:31.672637	2026-01-08 22:45:58.120643	26.448005437851
"35"	"gbm_vst_zScore"	2026-01-08 22:46:50.538449	2026-01-08 22:47:16.904746	26.3662965297699
"33"	"gbm_rlog"	2026-01-08 22:45:58.12152	2026-01-08 22:46:24.377208	26.2556879520416
"34"	"gbm_vst_min_max"	2026-01-08 22:46:24.378037	2026-01-08 22:46:50.537544	26.1595075130463
"13"	"nb_rlog_QN"	2026-01-08 12:33:27.645438	2026-01-08 12:33:53.363294	25.7178561687469
"10"	"nb_vst_QN"	2026-01-08 12:31:11.034059	2026-01-08 12:31:36.475759	25.4416999816895
"8"	"nb_vst_min_max"	2026-01-08 12:30:21.147649	2026-01-08 12:30:46.283818	25.1361691951752
"6"	"nb_vst"	2026-01-08 12:29:31.487841	2026-01-08 12:29:56.444636	24.9567952156067
"9"	"nb_vst_zScore"	2026-01-08 12:30:46.284662	2026-01-08 12:31:11.033225	24.7485630512238
"5"	"nb_raw"	2026-01-08 12:29:06.769274	2026-01-08 12:29:31.486937	24.7176628112793
"7"	"nb_rlog"	2026-01-08 12:29:56.44545	2026-01-08 12:30:21.14677	24.7013199329376
"12"	"nb_rlog_zScore"	2026-01-08 12:33:02.98176	2026-01-08 12:33:27.644593	24.6628336906433
"2"	"kNN_vst_zScore"	2026-01-08 12:28:19.376254	2026-01-08 12:28:30.303565	10.9273111820221
"1"	"kNN_vst_min_max"	2026-01-08 12:28:08.842403	2026-01-08 12:28:19.37517	10.5327668190002
"4"	"kNN_rlog_zScore"	2026-01-08 12:28:58.140251	2026-01-08 12:29:06.768069	8.62781763076782
